id;name;score;episodes;aired;broadcast;source;duration;ranked;members;studios;genres;recomendation
20;Haikyuu!! Second Season;8.89;25;Oct 4, 2015 to Mar 27, 2016;Sundays at 02:58 (JST);Manga;24 min. per ep.;2;277,446;Production I.G;Comedy|Sports|Drama|School|Shounen;Diamond no Ace: Second Season<>3 Users|Prince of Stride: Alternative<>3 Users|Kuroko no Basket<>2 Users|Diamond no Ace<>1 User|Free!<>1 User
21;Shigatsu wa Kimi no Uso;8.89;22;Oct 10, 2014 to Mar 20, 2015;Fridays at 01:20 (JST);Manga;22 min. per ep.;2;601,527;A-1 Pictures;Drama|Music|Romance|School|Shounen;Clannad: After Story<>24 Users|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>23 Users|3-gatsu no Lion<>19 Users|White Album 2<>12 Users|Angel Beats!<>10 Users|Yuri!!! on Ice<>9 Users|Piano no Mori<>9 Users|Plastic Memories<>8 Users|Sakurasou no Pet na Kanojo<>8 Users|Hibike! Euphonium<>8 Users|Toradora!<>7 Users|Golden Time<>6 Users|Kiniro no Corda: Primo Passo<>6 Users|Clannad<>6 Users|Hanbun no Tsuki ga Noboru Sora<>5 Users|Byousoku 5 Centimeter<>5 Users|Fuuka<>4 Users|Orange<>4 Users|Nagi no Asukara<>4 Users|Kimi no Na wa.<>3 Users|Uchuu Kyoudai<>2 Users|NHK ni Youkoso!<>2 Users|Kiznaiver<>2 Users|Barakamon<>2 Users
22;Violet Evergarden;8.88;Unknown;Jul 2, 2017 to ?;Unknown;Light novel;25 min.;2;112,857;Kyoto Animation;Drama|Fantasy;Koe no Katachi<>AutoRec|Rakudai Kishi no Cavalry<>AutoRec|One Punch Man<>AutoRec|Shingeki no Kyojin<>AutoRec|Masamune-kun no Revenge<>AutoRec|Sword Art Online<>AutoRec|Kiznaiver<>AutoRec|Mirai Nikki (TV)<>AutoRec|Shokugeki no Souma<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec
23;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;8.87;12;Jan 7, 2017 to Mar 25, 2017;Saturdays at 02:25 (JST);Manga;24 min. per ep.;2;57,524;Studio Deen;Drama|Josei;Sakamichi no Apollon<>1 User|Natsume Yuujinchou<>1 User|Mushishi<>1 User|Neon Genesis Evangelion<>1 User|Shigatsu wa Kimi no Uso<>1 User|3-gatsu no Lion<>1 User
24;Mushishi Zoku Shou 2nd Season;8.85;10;Oct 19, 2014 to Dec 21, 2014;Sundays at 00:30 (JST);Manga;23 min. per ep.;2;102,288;Artland;Adventure|Fantasy|Historical|Mystery|Seinen|Slice of Life|Supernatural;Natsume Yuujinchou<>2 Users|Bartender<>1 User|Barakamon<>1 User|Gake no Ue no Ponyo<>1 User
25;Cowboy Bebop;8.81;26;Apr 3, 1998 to Apr 24, 1999;Saturdays at 01:00 (JST);Original;24 min. per ep.;2;617,988;Sunrise;Action|Adventure|Comedy|Drama|Sci-Fi|Space;Samurai Champloo<>66 Users|Trigun<>51 Users|Black Lagoon<>45 Users|Seihou Bukyou Outlaw Star<>38 Users|Baccano!<>28 Users|Space☆Dandy<>18 Users|Michiko to Hatchin<>17 Users|Darker than Black: Kuro no Keiyakusha<>15 Users|Gintama<>12 Users|Psycho-Pass<>11 Users|Kekkai Sensen<>8 Users|Ghost in the Shell: Stand Alone Complex<>8 Users|Lupin III<>7 Users|Ergo Proxy<>5 Users|Macross Plus<>4 Users|Wolf's Rain<>4 Users|The Big O<>4 Users|Coyote Ragtime Show<>4 Users|Black Cat<>4 Users|Black Lagoon: The Second Barrage<>3 Users|Redline<>3 Users|Durarara!!<>3 Users|Lupin III (2015)<>3 Users|Planetes<>3 Users
26;Hajime no Ippo;8.81;75;Oct 4, 2000 to Mar 27, 2002;Tuesdays at 00:50 (JST);Manga;23 min. per ep.;2;200,926;Madhouse;Comedy|Sports|Drama|Shounen;Shijou Saikyou no Deshi Kenichi<>24 Users|Eyeshield 21<>10 Users|Baby Steps<>9 Users|Yowamushi Pedal<>6 Users|Ashita no Joe<>6 Users|Grappler Baki (TV)<>5 Users|Hikaru no Go<>5 Users|Great Teacher Onizuka<>5 Users|Ballroom e Youkoso<>4 Users|Initial D First Stage<>4 Users|Kuroko no Basket<>4 Users|Slam Dunk<>4 Users|Prince of Tennis<>3 Users|Bakuman.<>3 Users|Capeta<>3 Users|Major S1<>3 Users|Rainbow: Nisha Rokubou no Shichinin<>2 Users|Boku no Hero Academia<>2 Users|Gyakkyou Burai Kaiji: Ultimate Survivor<>2 Users|Katekyo Hitman Reborn!<>2 Users|Giant Killing<>2 Users|Ping Pong The Animation<>2 Users|Over Drive<>2 Users|Ashita no Joe 2<>2 Users
27;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;8.81;4;Feb 20, 1999 to Sep 22, 1999;None;Manga;30 min. per ep.;2;153,327;Studio Deen;Action|Historical|Drama|Romance|Martial Arts|Samurai;Basilisk: Kouga Ninpou Chou<>10 Users|Stranger: Mukou Hadan<>5 Users|Juubee Ninpuuchou<>5 Users|Afro Samurai<>4 Users|Jin-Rou<>3 Users|Kenpuu Denki Berserk<>3 Users|Shigurui<>3 Users|Ga-Rei: Zero<>2 Users|Hakuouki<>2 Users|Samurai Champloo<>2 Users|Hellsing Ultimate<>1 User|Mononoke Hime<>1 User|Hotaru no Haka<>1 User|Darker than Black: Kuro no Keiyakusha Gaiden<>1 User|Hijikata Toshizou: Shiro no Kiseki<>1 User|Fate/Zero<>1 User|Claymore<>1 User|Mushishi<>1 User|Kara no Kyoukai 2: Satsujin Kousatsu (Zen)<>1 User|Kara no Kyoukai 1: Fukan Fuukei<>1 User|Sennen Joyuu<>1 User|InuYasha<>1 User|Blade of the Immortal<>1 User|Shingetsutan Tsukihime<>1 User
28;Boku no Hero Academia 2nd Season;8.8;25;Apr 1, 2017 to Sep 30, 2017;Saturdays at 17:30 (JST);Manga;23 min. per ep.;2;390,617;Bones;Action|Comedy|Super Power|School|Shounen;One Punch Man<>3 Users|Ansatsu Kyoushitsu (TV) 2nd Season<>2 Users|Fairy Tail<>2 Users|World Trigger<>2 Users|Naruto<>2 Users|Hunter x Hunter (2011)<>1 User|Concrete Revolutio: Choujin Gensou - The Last Song<>1 User|Shokugeki no Souma: Ni no Sara<>1 User|Black Clover (TV)<>1 User|Shokugeki no Souma<>1 User|Baby Steps<>1 User|Little Witch Academia (TV)<>1 User
29;Code Geass: Hangyaku no Lelouch;8.8;25;Oct 6, 2006 to Jul 29, 2007;Fridays at 01:25 (JST);Original;24 min. per ep.;2;882,021;Sunrise;Action|Mecha|Military|School|Sci-Fi|Super Power;Death Note<>434 Users|Guilty Crown<>37 Users|Aldnoah.Zero<>28 Users|No Game No Life<>23 Users|Mobile Suit Gundam 00<>21 Users|Kakumeiki Valvrave<>19 Users|Ginga Eiyuu Densetsu<>15 Users|Fullmetal Alchemist: Brotherhood<>13 Users|Darker than Black: Kuro no Keiyakusha<>13 Users|Mobile Suit Gundam Seed<>11 Users|Eureka Seven<>11 Users|Big Order (TV)<>11 Users|Neon Genesis Evangelion<>10 Users|Full Metal Panic!<>9 Users|Kuroshitsuji<>9 Users|Tengen Toppa Gurren Lagann<>9 Users|Densetsu no Yuusha no Densetsu<>9 Users|Log Horizon<>8 Users|Zankyou no Terror<>8 Users|Zetsuen no Tempest<>8 Users|One Outs<>8 Users|Charlotte<>8 Users|Fullmetal Alchemist<>7 Users|Higashi no Eden<>7 Users
