id;name;score;episodes;aired;broadcast;source;duration;ranked;members;studios;genres;recomendation
4422;Chikyuu Bouei Kazoku;6.72;13;Jan 9, 2001 to Mar 29, 2001;Tuesdays at 18:30 (JST);Original;23 min. per ep.;2;899;add some;Action|Sci-Fi|Drama;FLCL<>1 User|Bokurano<>1 User|Digimon Adventure<>1 User|Neon Genesis Evangelion<>1 User
4423;Choujikuu Kidan Southern Cross;6.72;23;Apr 15, 1984 to Sep 30, 1984;Unknown;Original;23 min. per ep.;2;4,322;Studio World;Action|Sci-Fi|Drama|Mecha;Neon Genesis Evangelion<>1 User|Macross<>AutoRec|Kikou Souseiki Mospeada<>AutoRec|Cowboy Bebop<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Mononoke Hime<>AutoRec|Trigun<>AutoRec|Fullmetal Alchemist<>AutoRec|Akira<>AutoRec|Death Note<>AutoRec
4424;Choujuushin Gravion Zwei;6.72;12;Jan 8, 2004 to Mar 25, 2004;Unknown;Original;23 min. per ep.;2;6,225;Gonzo;Adventure|Comedy|Mecha|Sci-Fi|Shounen;Choujuushin Gravion<>AutoRec|Code Geass: Hangyaku no Lelouch<>AutoRec|Full Metal Panic!<>AutoRec|Tengen Toppa Gurren Lagann<>AutoRec|Fullmetal Alchemist<>AutoRec|Death Note<>AutoRec|Code Geass: Hangyaku no Lelouch R2<>AutoRec|Fullmetal Alchemist: Brotherhood<>AutoRec|Neon Genesis Evangelion<>AutoRec|Full Metal Panic? Fumoffu<>AutoRec
4425;Cross Fight B-Daman eS;6.72;52;Oct 7, 2012 to Sep 29, 2013;Unknown;Unknown;12 min. per ep.;2;880;SynergySP;Game|Kids;Gundam Build Fighters<>1 User|Cross Fight B-Daman<>AutoRec|Shingeki no Kyojin<>AutoRec|Sword Art Online<>AutoRec|Naruto<>AutoRec|Naruto: Shippuuden<>AutoRec|One Punch Man<>AutoRec|Boku no Hero Academia<>AutoRec|Kimi no Na wa.<>AutoRec|Fullmetal Alchemist: Brotherhood<>AutoRec|Boku no Hero Academia 2nd Season<>AutoRec
4426;Dokonjougaeru;6.72;103;Oct 7, 1972 to Sep 28, 1974;Saturdays at 19:00 (JST);Manga;25 min. per ep.;2;457;add some;Slice of Life|Comedy|Shounen;Kill la Kill<>1 User|Doraemon<>1 User|Death Note<>AutoRec|Pokemon<>AutoRec|Naruto<>AutoRec|Nichijou<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Dragon Ball Z<>AutoRec|Dragon Ball<>AutoRec|Code Geass: Hangyaku no Lelouch<>AutoRec|Gintama<>AutoRec|Digimon Adventure<>AutoRec
4427;Dragon Ball Z: Atsumare! Gokuu World;6.72;1;1992;None;Manga;30 min.;2;11,682;Toei Animation;Action|Adventure|Comedy|Super Power|Martial Arts|Fantasy|Shounen;Dragon Ball Z<>AutoRec|Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta<>AutoRec|Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks<>AutoRec|Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen<>AutoRec|Dragon Ball<>AutoRec|Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen<>AutoRec|Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru<>AutoRec|Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou<>AutoRec|Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu<>AutoRec|Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai<>AutoRec
4428;E's Otherwise;6.72;26;Apr 1, 2003 to Sep 23, 2003;Tuesdays at 18:00 (JST);Manga;23 min. per ep.;2;12,505;Studio Pierrot;Adventure|Comedy|Drama|Military|Sci-Fi|Shounen|Supernatural;s.CRY.ed<>2 Users|Kiddy Grade<>1 User|Chrome Shelled Regios<>1 User|Black Cat<>1 User|Gilgamesh<>1 User|Tokyo Underground<>1 User|Shining Tears X Wind<>1 User|Zettai Karen Children: The Unlimited - Hyoubu Kyousuke<>1 User
4429;Fatal Fury: The Motion Picture;6.72;1;Jul 16, 1994;None;Unknown;1 hr. 30 min.;2;7,827;add some;Action|Adventure|Drama|Martial Arts|Romance|Shounen;Street Fighter II: The Movie<>2 Users|Choujin Gakuen Gowcaizer: The Voltage Fighters<>1 User|Virus: Virus Buster Serge<>1 User|Toushinden<>1 User
4430;Five Star Stories;6.72;1;Mar 11, 1989;None;Manga;1 hr. 5 min.;2;6,311;Sunrise;Action|Drama|Fantasy|Mecha|Sci-Fi;Tenkuu no Escaflowne<>1 User|Dragon's Heaven<>1 User|Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai<>1 User|Macross: Do You Remember Love?<>1 User
4431;Ginga Tetsudou 999: Diamond Ring no Kanata e;6.72;1;Sep 9, 2009;None;Unknown;16 min.;2;871;Toei Animation;Adventure|Drama|Sci-Fi;Ginga Tetsudou 999 (Movie)<>AutoRec|Ginga Tetsudou 999: Eternal Fantasy<>AutoRec|Ginga Tetsudou 999<>AutoRec|Ginga Tetsudou 999: Eien no Tabibito Emeraldas<>AutoRec|Ginga Tetsudou 999: Glass no Clair<>AutoRec|Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki<>AutoRec|Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareru ka?<>AutoRec|Ghost in the Shell<>AutoRec|Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!<>AutoRec|Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden<>AutoRec
4432;Girls und Panzer Heartful Tank Disc: Fushou - Akiyama Yukari no Sensha Kouza;6.72;2;Sep 25, 2013;None;Original;14 min. per ep.;2;1,976;add some;Military|School;Girls und Panzer<>AutoRec|Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!<>AutoRec|Girls und Panzer Specials<>AutoRec|Girls und Panzer der Film<>AutoRec|Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza<>AutoRec|Girls und Panzer der Film Specials<>AutoRec|Girls und Panzer: Shoukai Shimasu!<>AutoRec|Girls und Panzer Heartful Tank Disc Picture Drama<>AutoRec|One Punch Man<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo!<>AutoRec
4433;Granblue Fantasy;6.72;Unknown;Nov 8, 2013 to ?;None;Game;28 sec.;2;3,029;add some;Fantasy;Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Boku no Hero Academia 2nd Season<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|Kimi no Na wa.<>AutoRec|Rokudenashi Majutsu Koushi to Akashic Records<>AutoRec|Boku no Hero Academia<>AutoRec|Kobayashi-san Chi no Maid Dragon<>AutoRec|Granblue Fantasy The Animation<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo!<>AutoRec
4434;GS Mikami: Gokuraku Daisakusen!!;6.72;1;Aug 20, 1994;None;Manga;59 min.;2;1,445;Toei Animation;Comedy|Fantasy;Jigoku Sensei Nube: Gozen 0 toki Nube Shisu!<>1 User|Jigoku Sensei Nube OVA<>1 User|Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna<>1 User|Slayers Premium<>1 User|Kujakuou<>1 User
4435;Hoshi no Kirby;6.72;100;Oct 6, 2001 to Sep 27, 2003;Saturdays at 19:30 (JST);Game;24 min. per ep.;2;12,611;Studio Sign;Action|Adventure|Comedy|Parody|Fantasy;Sonic X<>3 Users|Pokemon<>2 Users|Sonic★the★Hedgehog<>1 User|Pokemon Advanced Generation<>1 User|Keroro Gunsou<>1 User|Super Milk-chan<>1 User|Jikuu Bouken Nuumamonjaa<>1 User
4436;Hurricane Polymar;6.72;26;Oct 4, 1974 to Mar 8, 1975;Unknown;Unknown;25 min. per ep.;2;967;Tatsunoko Production;Action|Adventure|Police|Sci-Fi|Super Power;Shinzou Ningen Casshern<>1 User|Ryuuseiki Gakusaver<>1 User|Death Note<>AutoRec|Lupin III<>AutoRec|Dragon Ball Z<>AutoRec|Great Teacher Onizuka<>AutoRec|Shingeki no Kyojin<>AutoRec|One Punch Man<>AutoRec|Cowboy Bebop<>AutoRec|Tengen Toppa Gurren Lagann<>AutoRec|Boku no Hero Academia<>AutoRec
4437;Hyakka Ryouran: Samurai Girls Specials;6.72;6;Nov 25, 2010 to Apr 27, 2011;None;Light novel;3 min. per ep.;2;16,909;Arms;Ecchi;Hyakka Ryouran: Samurai Girls<>AutoRec|Highschool of the Dead<>AutoRec|Sword Art Online<>AutoRec|Hyakka Ryouran: Samurai Bride<>AutoRec|High School DxD<>AutoRec|Shingeki no Kyojin<>AutoRec|Angel Beats!<>AutoRec|Steins,Gate<>AutoRec|IS: Infinite Stratos<>AutoRec|Kore wa Zombie Desu ka?<>AutoRec
4438;Idol Time PriPara;6.72;Unknown;Apr 4, 2017 to ?;Tuesdays at 17:55 (JST);Game;24 min.;2;1,901;Dongwoo A&E;Music|School|Shoujo;Fushigiboshi no☆Futagohime Gyu!<>1 User|Hime Chen! Otogi Chikku Idol Lilpri<>1 User|PriPara<>AutoRec|Aikatsu Stars!<>AutoRec|Boku no Hero Academia 2nd Season<>AutoRec|Kimi no Na wa.<>AutoRec|Little Witch Academia (TV)<>AutoRec|Kobayashi-san Chi no Maid Dragon<>AutoRec|Koe no Katachi<>AutoRec|New Game!!<>AutoRec|Made in Abyss<>AutoRec|Eromanga-sensei<>AutoRec
4439;Ie Naki Ko (Movie);6.72;1;Mar 15, 1980;None;Unknown;1 hr. 36 min.;2;553;add some;Slice of Life|Adventure|Drama;Ie Naki Ko<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Death Note<>AutoRec|Slam Dunk<>AutoRec|Shingeki no Kyojin<>AutoRec|Ie Naki Ko Remi<>AutoRec|Hotaru no Haka<>AutoRec|Dragon Ball<>AutoRec|Toki wo Kakeru Shoujo<>AutoRec|Tenkuu no Shiro Laputa<>AutoRec
4440;Ikkitousen: Xtreme Xecutor Specials;6.72;6;Jun 25, 2010 to Nov 25, 2010;None;Unknown;3 min. per ep.;2;9,362;TNK;Comedy|Ecchi;Ikkitousen: Xtreme Xecutor<>AutoRec|Ikkitousen: Great Guardians<>AutoRec|Ikkitousen: Dragon Destiny<>AutoRec|Ikkitousen: Great Guardians Specials<>AutoRec|Highschool of the Dead<>AutoRec|Ikkitousen: Shuugaku Toushi Keppuuroku<>AutoRec|Death Note<>AutoRec|Sword Art Online<>AutoRec|Naruto: Shippuuden<>AutoRec|Elfen Lied<>AutoRec
4441;Je T'aime;6.72;1;Jul 6, 2010;None;Unknown;11 min.;2;4,368;Production I.G;Sci-Fi;Pale Cocoon<>1 User|Junkers Come Here<>1 User|Shingeki no Kyojin<>AutoRec|Kimi no Na wa.<>AutoRec|Ghost in the Shell<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Steins,Gate<>AutoRec|One Punch Man<>AutoRec|Death Note<>AutoRec|Kotonoha no Niwa<>AutoRec|Neon Genesis Evangelion<>AutoRec|Ookami Kodomo no Ame to Yuki<>AutoRec
4442;Juubee-chan: Lovely Gantai no Himitsu;6.72;13;Apr 6, 1999 to Jun 29, 1999;Tuesdays at 01:15 (JST);Original;25 min. per ep.;2;12,452;Madhouse;Action|Adventure|Comedy|Drama|Shounen;Igano Kabamaru<>1 User|Kizuna Ichigeki<>1 User|Blood-C<>1 User|Kazemakase Tsukikage Ran<>1 User|Bamboo Blade<>1 User|Ranma ½<>1 User
4443;Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon;6.72;1;2006;None;Unknown;21 min.;2;1,907;Toei Animation;Adventure|Comedy|Magic|Shounen|Supernatural;Konjiki no Gash Bell!!<>AutoRec|Konjiki no Gash Bell!!: 101 Banme no Mamono<>AutoRec|Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu<>AutoRec|Death Note<>AutoRec|One Piece<>AutoRec|Sword Art Online<>AutoRec|Shingeki no Kyojin<>AutoRec|Ao no Exorcist<>AutoRec|Dragon Ball<>AutoRec|Naruto<>AutoRec
4444;Mirai Nikki (TV): Ura Mirai Nikki;6.72;10;Jan 27, 2012 to Aug 31, 2012;None;Manga;2 min. per ep.;2;37,553;Asread;Action|Comedy|Supernatural;Shingeki no Kyojin Picture Drama<>1 User|Mirai Nikki (TV)<>AutoRec|Mirai Nikki Redial<>AutoRec|Mirai Nikki<>AutoRec|Shingeki no Kyojin<>AutoRec|Sword Art Online<>AutoRec|Death Note<>AutoRec|Tokyo Ghoul<>AutoRec|Another<>AutoRec|No Game No Life<>AutoRec|Angel Beats!<>AutoRec
4445;Nanaka 6/17;6.72;12;Jan 9, 2003 to Mar 27, 2003;Thursdays at 02:35 (JST);Manga;25 min. per ep.;2;6,202;J.C.Staff;Slice of Life|Comedy|Drama|Romance|Shounen;Midori no Hibi<>1 User|Elfen Lied<>1 User|Asatte no Houkou.<>1 User|Kotoura-san<>1 User|Full Moon wo Sagashite<>1 User|Fruits Basket<>1 User
4446;Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai;6.72;1;Jan 22, 2014;None;Unknown;45 min.;2;4,643;add some;Comedy|Romance;Ore no Imouto ga Konnani Kawaii Wake ga Nai<>AutoRec|Ore no Imouto ga Konnani Kawaii Wake ga Nai.<>AutoRec|Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials<>AutoRec|Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials<>AutoRec|Sword Art Online<>AutoRec|No Game No Life<>AutoRec|Toradora!<>AutoRec|Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie<>AutoRec|Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary<>AutoRec|Nisekoi<>AutoRec
4447;Persona: Trinity Soul;6.72;26;Jan 5, 2008 to Jun 28, 2008;Unknown;Original;23 min. per ep.;2;53,644;A-1 Pictures;Action|Sci-Fi|Super Power;Darker than Black: Kuro no Keiyakusha<>6 Users|RahXephon<>3 Users|Tokyo Majin Gakuen Kenpucho: Tou<>2 Users|Death Note<>2 Users|Ergo Proxy<>2 Users|.hack//Roots<>1 User|D.Gray-man<>1 User|Code Geass: Hangyaku no Lelouch<>1 User|Mushi-Uta<>1 User|Zegapain<>1 User|Eve no Jikan<>1 User|Devil Survivor 2 The Animation<>1 User|Occultic,Nine<>1 User|Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku<>1 User|Shinreigari: Ghost Hound<>1 User|ChäoS,HEAd<>1 User|Guilty Crown<>1 User|Ayakashi<>1 User|Speed Grapher<>1 User|Saint Luminous Jogakuin<>1 User|Chrome Shelled Regios<>1 User|Phantom: Requiem for the Phantom<>1 User|Darker than Black: Ryuusei no Gemini<>1 User|Blood+<>1 User
4448;Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!;6.72;1;Mar 27, 2014;None;Unknown;23 min.;2;3,549;add some;Action|Adventure|Comedy|Fantasy|Kids;Pokemon Best Wishes! Season 2: Episode N<>AutoRec|Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!<>AutoRec|Pokemon XY<>AutoRec|Pokemon<>AutoRec|Pokemon Best Wishes! Season 2<>AutoRec|Pokemon Best Wishes! Season 2: Decolora Adventure<>AutoRec|Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario<>AutoRec|Pokemon Diamond & Pearl<>AutoRec|Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi<>AutoRec|Pokemon Best Wishes! Season 2: Shinsoku no Genosect - Mewtwo Kakusei<>AutoRec
4449;Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki;6.72;1;Jul 18, 2003;None;Game;20 min.;2;7,964;OLM;Adventure|Comedy|Fantasy|Kids;Pokemon: Mewtwo no Gyakushuu<>AutoRec|Pokemon: Maboroshi no Pokemon Lugia Bakutan<>AutoRec|Pokemon: Kesshoutou no Teiou Entei<>AutoRec|Pokemon: Celebi Toki wo Koeta Deai<>AutoRec|Pokemon<>AutoRec|Pokemon: Mizu no Miyako no Mamorigami Latias to Latios<>AutoRec|Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario<>AutoRec|Pokemon: Mewtwo! Ware wa Koko ni Ari<>AutoRec|Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys<>AutoRec|Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi<>AutoRec
4450;Ranpo Kitan: Game of Laplace;6.72;11;Jul 3, 2015 to Sep 18, 2015;Fridays at 00:55 (JST);Original;23 min. per ep.;2;77,512;Lerche;Mystery;"Pupa<>9 Users|Psycho-Pass<>4 Users|Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation<>4 Users|Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru<>4 Users|Hyouka<>3 Users|Ghost Hunt<>2 Users|Ansatsu Kyoushitsu (TV)<>2 Users|Gosick<>2 Users|Death Note<>2 Users|Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori<>2 Users|Detective Conan<>2 Users|Subete ga F ni Naru: The Perfect Insider<>2 Users|Bungou Stray Dogs<>1 User|Shinreigari: Ghost Hound<>1 User|Umineko no Naku Koro ni<>1 User|Mouryou no Hako<>1 User|Psycho-Pass 2<>1 User|Kuroshitsuji<>1 User|Another<>1 User|Boku dake ga Inai Machi<>1 User|Majin Tantei Nougami Neuro<>1 User|Mahou Shoujo Madoka★Magica<>1 User|Dantalian no Shoka<>1 User|Hamatora The Animation<>1 User"
4451;Saber Marionette R;6.72;3;May 24, 1995 to Sep 25, 1995;None;Unknown;30 min. per ep.;2;5,389;Zero-G Room;Action|Comedy|Harem|Mecha|Sci-Fi;Saber Marionette J<>AutoRec|Saber Marionette J to X<>AutoRec|Saber Marionette J Again<>AutoRec|Neon Genesis Evangelion<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Cowboy Bebop<>AutoRec|Death Note<>AutoRec|Rurouni Kenshin: Meiji Kenkaku Romantan<>AutoRec|Elfen Lied<>AutoRec|Fullmetal Alchemist<>AutoRec
4452;Sacred Seven;6.72;12;Jul 3, 2011 to Sep 16, 2011;Sundays at 02:28 (JST);Original;24 min. per ep.;2;52,875;Sunrise;Action|Sci-Fi|Super Power|School;Code Geass: Hangyaku no Lelouch<>4 Users|s.CRY.ed<>2 Users|Itsuka Tenma no Kuro Usagi<>1 User|11eyes<>1 User|Asura Cryin'<>1 User|Rockman.EXE<>1 User|Saint Seiya<>1 User|Kono Minikuku mo Utsukushii Sekai<>1 User|Star Driver: Kagayaki no Takuto<>1 User|Ao no Exorcist<>1 User|Densetsu no Yuusha no Densetsu<>1 User|Magi: The Labyrinth of Magic<>1 User|Blassreiter<>1 User|Guilty Crown<>1 User|Kingdom<>1 User|Kishin Houkou Demonbane (TV)<>1 User|Tiger & Bunny<>1 User|Dance in the Vampire Bund<>1 User|Dragon Crisis!<>1 User
4453;Sasami-san@Ganbaranai;6.72;12;Jan 11, 2013 to Mar 29, 2013;Unknown;Light novel;24 min. per ep.;2;61,846;Shaft;Comedy|Romance|Supernatural;Bakemonogatari<>5 Users|Arakawa Under the Bridge<>3 Users|Suzumiya Haruhi no Yuuutsu<>3 Users|Denpa Onna to Seishun Otoko<>3 Users|FLCL<>2 Users|Kyousou Giga (TV)<>2 Users|Serial Experiments Lain<>1 User|Inari, Konkon, Koi Iroha.<>1 User|Ore no Imouto ga Konnani Kawaii Wake ga Nai.<>1 User|Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!<>1 User|Kamisama Hajimemashita<>1 User|Sayonara Zetsubou Sensei<>1 User|Saint☆Oniisan<>1 User|Haiyore! Nyaruko-san<>1 User|Punch Line<>1 User|Kannagi<>1 User|NHK ni Youkoso!<>1 User|Mawaru Penguindrum<>1 User|Kamichu!<>1 User|Tsuritama<>1 User|Nourin<>1 User|Kamisama no Memochou<>1 User|Yahari Ore no Seishun Love Comedy wa Machigatteiru.<>1 User|Oniichan dakedo Ai sae Areba Kankeinai yo ne!<>1 User
4454;Seikoku no Dragonar;6.72;12;Apr 5, 2014 to Jun 21, 2014;Unknown;Light novel;24 min. per ep.;2;102,756;C-Station;Comedy|Ecchi|Fantasy|School;Zero no Tsukaima<>8 Users|Seireitsukai no Blade Dance<>5 Users|Machine-Doll wa Kizutsukanai<>5 Users|Dragon Crisis!<>3 Users|Shinkyoku Soukai Polyphonica<>1 User|Saijaku Muhai no Bahamut<>1 User|Trinity Seven<>1 User|Walkure Romanze<>1 User|Zero no Tsukaima: Princesses no Rondo<>1 User|Isekai no Seikishi Monogatari<>1 User|Dog Days<>1 User|Macademi Wasshoi!<>1 User|Nisekoi<>1 User|High School DxD<>1 User|Ichiban Ushiro no Daimaou<>1 User
4455;Shin Cutey Honey;6.72;8;Apr 21, 1994 to Nov 21, 1995;None;Manga;30 min. per ep.;2;4,182;Toei Animation;Adventure|Comedy|Ecchi|Magic|Sci-Fi;Kekkou Kamen<>1 User|Black Lagoon: Roberta's Blood Trail<>1 User|Dirty Pair OVA<>1 User|Ghost Sweeper GS Mikami<>1 User|Devilman: Tanjou-hen<>1 User|Mazinkaiser<>1 User|Heppoko Jikken Animation Excel♥Saga<>1 User
4456;Shingeki no Kyojin-ten 360° Taikan Theater;6.72;3;Jun 21, 2017 to Aug 18, 2017;None;Manga;Unknown;2;6,402;add some;Action|Fantasy|Shounen|Super Power;
4457;Stella no Mahou Specials;6.72;2;Feb 24, 2017 to Mar 24, 2017;None;4-koma manga;13 min. per ep.;2;2,524;Silver Link.;Comedy|School|Slice of Life;New Game!!<>AutoRec|Kobayashi-san Chi no Maid Dragon<>AutoRec|Aho Girl<>AutoRec|Tsurezure Children<>AutoRec|Made in Abyss<>AutoRec|Demi-chan wa Kataritai: Demi-chan no Natsuyasumi<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2 OVA<>AutoRec|Eromanga-sensei<>AutoRec|Gamers!<>AutoRec|Little Witch Academia (TV)<>AutoRec
4458;Tono to Issho;6.72;1;Mar 25, 2010;None;4-koma manga;37 min.;2;3,072;Gathering;Comedy|Historical|Parody|Samurai|Seinen;Gintama<>2 Users|Hetalia Axis Powers<>1 User|Masuda Kousuke Gekijou Gag Manga Biyori<>1 User|30-sai no Hoken Taiiku<>1 User|Nobunaga Concerto<>1 User|Joshikousei Nobunaga-chan!!<>1 User|Sengoku☆Paradise Kiwami<>1 User|Sengoku Choujuu Giga: Kou<>1 User|Thermae Romae<>1 User|Toriko<>1 User
4459;Warau Salesman;6.72;103;Oct 17, 1989 to Sep 29, 1992;Tuesdays at Unknown;Manga;10 min. per ep.;2;1,853;Shin-Ei Animation;Psychological|Supernatural|Drama|Seinen;Kurayami Santa<>2 Users|Death Parade<>1 User|Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou<>1 User|One Punch Man<>AutoRec|Mob Psycho 100<>AutoRec|One Piece<>AutoRec|Death Note<>AutoRec|Shingeki no Kyojin<>AutoRec|Hunter x Hunter (2011)<>AutoRec|Tokyo Ghoul<>AutoRec|Boku no Hero Academia<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec
4460;Winter Garden;6.72;2;Dec 22, 2006 to Dec 23, 2006;None;Unknown;23 min. per ep.;2;5,736;J.C.Staff;Drama|Romance|Shoujo|Slice of Life;Kimi ni Todoke<>1 User|Kimi no Iru Machi: Tasogare Kousaten<>1 User|Tamayura<>1 User|Tokyo Marble Chocolate<>1 User
4461;Yakyuukyou no Uta;6.72;25;Dec 23, 1977 to Mar 26, 1979;Unknown;Unknown;46 min. per ep.;2;383;Nippon Animation;Action|Drama|Sports;Neon Genesis Evangelion<>AutoRec|Bishoujo Senshi Sailor Moon: Sailor Stars<>AutoRec|Versailles no Bara<>AutoRec|Bishoujo Senshi Sailor Moon S<>AutoRec|Dragon Ball Kai<>AutoRec|Bishoujo Senshi Sailor Moon<>AutoRec|Mirai Robo Daltanias<>AutoRec|Usagi Drop<>AutoRec|One Punch Man<>AutoRec|Dr. Slump<>AutoRec
4462;.hack//Liminality;6.71;4;Jun 20, 2002 to Apr 10, 2003;None;Original;33 min. per ep.;2;25,923;Bee Train;Game|Mystery|Sci-Fi;Digimon Adventure<>1 User|Final Fantasy VII: On the Way to a Smile - Episode: Denzel<>1 User|Baldr Force Exe Resolution<>1 User|.hack//Sign<>AutoRec|.hack//Roots<>AutoRec|.hack//Tasogare no Udewa Densetsu<>AutoRec|Death Note<>AutoRec|Fullmetal Alchemist<>AutoRec|Code Geass: Hangyaku no Lelouch<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Cowboy Bebop<>AutoRec|Elfen Lied<>AutoRec|Fullmetal Alchemist: Brotherhood<>AutoRec
4463;Akage no Anne: Green Gables e no Michi;6.71;1;Jul 17, 2010;None;Unknown;1 hr. 39 min.;2;1,462;Nippon Animation;Adventure|Historical|Shoujo|Slice of Life;Akage no Anne<>AutoRec|Sen to Chihiro no Kamikakushi<>AutoRec|Kimi no Na wa.<>AutoRec|Koe no Katachi<>AutoRec|Howl no Ugoku Shiro<>AutoRec|Shingeki no Kyojin<>AutoRec|Death Note<>AutoRec|One Piece<>AutoRec|Mononoke Hime<>AutoRec|Majo no Takkyuubin<>AutoRec
4464;Area 88 Movie;6.71;1;Jul 20, 1985;None;Manga;1 hr. 39 min.;2;437;add some;Action|Military|Adventure|Drama|Romance;Area 88<>AutoRec|Area 88 (TV)<>AutoRec|Akira<>AutoRec|Death Note<>AutoRec|Shingeki no Kyojin<>AutoRec|One Punch Man<>AutoRec|Boku no Hero Academia<>AutoRec|Black Lagoon<>AutoRec|Neon Genesis Evangelion<>AutoRec|Tengen Toppa Gurren Lagann<>AutoRec
4465;Arslan Senki (TV) Specials;6.71;8;Jul 23, 2015 to Feb 24, 2016;None;Manga;1 min. per ep.;2;6,650;LIDENFILMS;Comedy;Arslan Senki (TV)<>AutoRec|Arslan Senki (TV): Fuujin Ranbu<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|Boku no Hero Academia<>AutoRec|One Punch Man<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec|Boku no Hero Academia 2nd Season<>AutoRec|Boku dake ga Inai Machi<>AutoRec|Arslan Senki (TV) OVA<>AutoRec|Kimi no Na wa.<>AutoRec
4466;Baby Baachan;6.71;53;Apr 8, 2002 to Dec 4, 2002;Not scheduled once per week;Original;35 min. per ep.;2;470;add some;Comedy|Drama;Chibi☆Devi!<>1 User|Beelzebub<>1 User|Death Note<>AutoRec|Cardcaptor Sakura<>AutoRec|Daa! Daa! Daa!<>AutoRec|Fullmetal Alchemist: Brotherhood<>AutoRec|Ultra Maniac<>AutoRec|Shingeki no Kyojin<>AutoRec|Tantei Gakuen Q<>AutoRec|Mahou no Stage Fancy Lala<>AutoRec|Kimi ni Todoke<>AutoRec|Princess Tutu<>AutoRec
4467;Choujikuu Seiki Orguss;6.71;35;Jul 3, 1983 to Apr 8, 1984;Unknown;Original;25 min. per ep.;2;2,730;Artland;Action|Adventure|Mecha|Romance|Sci-Fi|Shounen;Uchuu no Kishi Tekkaman Blade<>1 User|Suisei no Gargantia<>1 User|Macross<>1 User|Akira<>AutoRec|Neon Genesis Evangelion<>AutoRec|Tengen Toppa Gurren Lagann<>AutoRec|Mobile Suit Gundam<>AutoRec|Top wo Nerae! Gunbuster<>AutoRec|Ginga Eiyuu Densetsu<>AutoRec|Cowboy Bebop<>AutoRec|Choujikuu Seiki Orguss 02<>AutoRec|Kill la Kill<>AutoRec
